MerchantId,Deci
47D23A56-797F-4A14-BC50-518BD0EBB94A,40
66CB13A4-FD3A-4020-96CD-F54BE8B2B0FD,40
0841B9E7-6368-47B0-BD17-9E916EF7758E,40
3A00480B-C46F-4F39-956A-7BCFFAC9C4BC,40
630EA7C3-33D4-4B1F-91DA-BB9ED6408F73,40
21656869-ABE8-4877-B52F-82DCBD13EA92,40
1286984F-772A-4A31-9D4D-C361BE1A7DEB,40
3F3E46B3-C67F-412E-A10E-6E5574F0E0FA,40
A69106E7-57D4-41B0-B10F-506A18B6CCEE,40
921B657A-C16C-4CEC-81D9-8A7196861F95,40
57769879-2E6C-43E2-ACE8-5E21AB97A5AB,40
CECA2BDA-F9CB-49B4-8241-AF12C7A18C23,40
E073ED8C-C816-43BF-9FA0-14F205CDED4C,40
ECFF98D4-F248-4BF4-AD55-30773683D885,40
9A017772-DF9F-4BF6-8E6A-BDC1469A3403,40
B3E1C7B5-5998-4154-BB7A-CD875AF8DA87,40
3D731772-7493-4112-A11E-C7BC4B4BFF34,40
03337A21-73E1-4581-85C8-7BBED46D0787,40
722CE36E-08FC-47DA-8F26-B389A82848EC,40
25C2F55C-7C4D-4278-BF9F-B284EEF2732E,40
1BCC9C83-B74A-448D-8549-2B339B274C96,40
1353E0FA-2B88-4B60-AE37-A06CB8CED0A2,40
B1F4C565-F992-42AD-89E6-1B22E75EEABB,40
2860A4C2-9F27-4085-8F3B-2F928B620A1C,40
70BFC144-F740-4337-BA46-D3342B1B0608,40
7CB36E1F-5A47-4CCF-ABE3-CABD3F362ED3,40
49F8235B-90CF-47C4-86ED-A517B63A7A9F,40
6D409C5E-68F3-4825-9074-90225A6AA9FE,40
CFF429DC-FCE0-4AF4-8014-BD78DC0A49E0,40
4C5107B4-5CD3-45FF-9618-02D6613224DC,40
F9722434-1D47-4394-97DA-6F5B9D5C8A12,40
9E016185-0CE2-40CB-AC18-7F16CB709980,40
81B17857-4B32-4A5E-9651-3A5180479BB9,40
C60025E8-9F59-41D8-A39E-1C7E3E64F9A3,40
17DC46C1-9785-41B9-BEF6-DF70001F55C0,40
5F4AF264-36F8-4282-8CF0-088945FB785F,40
A2250E95-2E9A-4543-A2C1-57CACD4A1F2A,40
CBCDE54F-36A1-4BF9-9420-530BA58FB8AA,40
38AA96CF-5215-4A09-88A6-7116B572AF57,40
23415233-89E4-4658-A9DC-8EEE05B61D37,40
B521F7DD-0613-48C7-A03A-39FE3F0734FF,40
33233B03-6DAA-4243-98AD-006F813FFE56,40
9387EDCA-D81E-423A-A3EC-3E0BA939F5A0,40
37DA2C9A-AF36-4B51-89AE-0B222A602B9E,40
86BEEF56-828B-42A5-9373-63D980ABB38E,40
BD9C5FCA-1CBD-4F32-AEDD-41EDD88536B9,40
6229B0EE-DF63-4F8E-9537-5C91D3074BF2,40
38ABEE65-08E1-4AC1-BEF8-73A1349A040E,40
9F71DFA8-A8DD-443C-9A9A-1A95B59F5E9B,40
7258178D-EEC4-4FE9-A675-3FD85EA95064,40
44E53A14-DA1F-436C-BBAC-10938113747E,40
FB86BB4D-C7B1-4063-9573-903E9346B5AC,40
C1540B12-B0CE-43CC-9AB8-870836C6FA7B,40
4E1A1790-1107-4A4D-A88F-C30144EC0EEC,40
B9DBE44E-A769-4930-BEFC-50BCC83FF950,40
86DEEB99-EBEA-4602-8A52-80C2F298FF5C,40
65492FFB-319E-44A8-B66F-3AEA0F45510B,40
708BA872-B78F-4E37-A7FF-31408399B41B,40
EC20074D-88E7-45D1-BC11-1920ABBD4117,40
56C73372-E37F-4414-B42D-2A70BE86C531,40
571528DE-5176-4D1B-A4BB-96E79FDFA2AF,40
FDA12C75-24E3-413B-AF3C-F52BD97457B5,40
827EAEAF-8D54-4C90-9188-DBC56221958A,40
DFD9EBBA-E744-46F5-97DC-719FCC72E494,40
03BC6DEA-C3F1-4EF0-8463-09C0C5B13CCC,40
331F96BE-2AE6-4A5C-9E2A-FF74BA1A669D,40
D54E86BA-4987-42C3-8533-65B542494545,40
FDBA158B-F3DD-45A4-8E76-1EB4D8C22FE2,40
FB732FD7-3B93-4EA7-9D0C-38F8FB9D4428,40
6F37EBB0-CA9D-4A8D-8AE1-7E624C69361B,40
EE5DC4F6-47A3-4E5C-87CC-82BC007AF404,40
5734CF04-F78B-4F1E-A23A-6F0862FF73CE,40
7932D526-4DE5-44EB-91E4-F6C4950528B8,40
8A104A0C-11BA-4BC6-9A29-FECE202DACE4,40
9691C862-80FC-45B6-8BBB-B230339E4802,40
